second,mm_ss,gemini-3.6-flash,gemini-3.5-flash,gemini-3.5-flash-lite,gemini-3.1-flash,gemini-3.1-flash-lite,gemini-2.5-flash,gemini-2.5-flash-lite
12,0:12,[Speaker 1] ประชุมออนไลน์ต้องบอกขึ้นมา แล้วก็ปิดการ…,[Speaker 1] ประชุมออนไลน์ก็บอกเขามา แล้วก็ปิดการประ…,[Speaker 1] ประชุมออนไลน์ทั้งหมดทั้งหลาย แล้วก็ปิดก…,,[Speaker 1] ครั้ง นั้น น่ะ จะ เป็น ถ้า อย่าง นั้น ต…,[Speaker 1] มาประชุมออนไลน์ให้บอกขึ้นมา แล้วก็ติดตา…,
13,0:13,[Speaker 1] ประชุมออนไลน์ต้องบอกขึ้นมา แล้วก็ปิดการ…,[Speaker 2] ครั้งที่ 16,[Speaker 1] ประชุมออนไลน์ทั้งหมดทั้งหลาย แล้วก็ปิดก…,,[Speaker 1] ครั้ง นั้น น่ะ จะ เป็น ถ้า อย่าง นั้น ต…,[Speaker 1] มาประชุมออนไลน์ให้บอกขึ้นมา แล้วก็ติดตา…,
14,0:14,[Speaker 2] ครั้งที่ 16,[Speaker 2] ครั้งที่ 16,[Speaker 1] ประชุมออนไลน์ทั้งหมดทั้งหลาย แล้วก็ปิดก…,,,[Speaker 2] ครั้งที่ 16,
15,0:15,[Speaker 1] เดือนมิถุนาบอกประชุมครั้งที่เท่าไหร่ ขอ…,[Speaker 3] เดือนมิถุนายนบอร์ดประชุมครั้งที่เท่าไหร่,[Speaker 1] ประชุมออนไลน์ทั้งหมดทั้งหลาย แล้วก็ปิดก…,,,[Speaker 2] ครั้งที่ 16,
16,0:16,[Speaker 1] เดือนมิถุนาบอกประชุมครั้งที่เท่าไหร่ ขอ…,[Speaker 3] เดือนมิถุนายนบอร์ดประชุมครั้งที่เท่าไหร่,[Speaker 1] ประชุมออนไลน์ทั้งหมดทั้งหลาย แล้วก็ปิดก…,,[Speaker 1] เดือน มิถุนายน บอก ประชุม ครั้ง ที่ เท่…,[Speaker 1] เดือนมินาบอร์ดประชุมครั้งที่เท่าไหร่ ขอ…,
17,0:17,[Speaker 1] เดือนมิถุนาบอกประชุมครั้งที่เท่าไหร่ ขอ…,[Speaker 3] เดือนมิถุนายนบอร์ดประชุมครั้งที่เท่าไหร่,[Speaker 1] ประชุมออนไลน์ทั้งหมดทั้งหลาย แล้วก็ปิดก…,,[Speaker 1] เดือน มิถุนายน บอก ประชุม ครั้ง ที่ เท่…,[Speaker 1] เดือนมินาบอร์ดประชุมครั้งที่เท่าไหร่ ขอ…,
18,0:18,[Speaker 1] เดือนมิถุนาบอกประชุมครั้งที่เท่าไหร่ ขอ…,[Speaker 2] ของปีอ่ะ,[Speaker 1] ประชุมออนไลน์ทั้งหมดทั้งหลาย แล้วก็ปิดก…,,[Speaker 1] เดือน มิถุนายน บอก ประชุม ครั้ง ที่ เท่…,[Speaker 1] เดือนมินาบอร์ดประชุมครั้งที่เท่าไหร่ ขอ…,
19,0:19,[Speaker 1] เดือนมิถุนาบอกประชุมครั้งที่เท่าไหร่ ขอ…,[Speaker 2] ของปีอ่ะ,[Speaker 1] ประชุมออนไลน์ทั้งหมดทั้งหลาย แล้วก็ปิดก…,,[Speaker 1] เดือน มิถุนายน บอก ประชุม ครั้ง ที่ เท่…,,
20,0:20,[Speaker 1] เดือนมิถุนาบอกประชุมครั้งที่เท่าไหร่ ขอ…,[Speaker 3] บอร์ดครั้งที่ 14,[Speaker 1] ประชุมออนไลน์ทั้งหมดทั้งหลาย แล้วก็ปิดก…,,[Speaker 1] เดือน มิถุนายน บอก ประชุม ครั้ง ที่ เท่…,[Speaker 3] มันปีเบสอีกที นึง,
21,0:21,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นอั้มตอบผิด ครั้งล่าส…,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นน่ะ น้องตอบผิด ครั้ง…,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นน่ะ เราตอบผิดอ่ะ ครั…,,[Speaker 1] เดือน มิถุนายน บอก ประชุม ครั้ง ที่ เท่…,,
22,0:22,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นอั้มตอบผิด ครั้งล่าส…,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นน่ะ น้องตอบผิด ครั้ง…,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นน่ะ เราตอบผิดอ่ะ ครั…,,[Speaker 2] อ๋อ ถ้า ถ้า อย่าง งั้น อ่ะ หนู ตอบ ผิด …,[Speaker 4] อ๋อ ถ้าๆ งั้นค่ะ นานตอบผิดอ่ะ,
23,0:23,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นอั้มตอบผิด ครั้งล่าส…,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นน่ะ น้องตอบผิด ครั้ง…,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นน่ะ เราตอบผิดอ่ะ ครั…,,[Speaker 2] อ๋อ ถ้า ถ้า อย่าง งั้น อ่ะ หนู ตอบ ผิด …,[Speaker 4] อ๋อ ถ้าๆ งั้นค่ะ นานตอบผิดอ่ะ,
24,0:24,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นอั้มตอบผิด ครั้งล่าส…,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นน่ะ น้องตอบผิด ครั้ง…,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นน่ะ เราตอบผิดอ่ะ ครั…,,[Speaker 2] อ๋อ ถ้า ถ้า อย่าง งั้น อ่ะ หนู ตอบ ผิด …,[Speaker 4] ครั้งล่าสุดประชุมวันที่ 21 กรกฎาคม นั้น…,
25,0:25,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นอั้มตอบผิด ครั้งล่าส…,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นน่ะ น้องตอบผิด ครั้ง…,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นน่ะ เราตอบผิดอ่ะ ครั…,,[Speaker 2] อ๋อ ถ้า ถ้า อย่าง งั้น อ่ะ หนู ตอบ ผิด …,[Speaker 4] ครั้งล่าสุดประชุมวันที่ 21 กรกฎาคม นั้น…,
26,0:26,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นอั้มตอบผิด ครั้งล่าส…,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นน่ะ น้องตอบผิด ครั้ง…,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นน่ะ เราตอบผิดอ่ะ ครั…,,[Speaker 2] อ๋อ ถ้า ถ้า อย่าง งั้น อ่ะ หนู ตอบ ผิด …,[Speaker 4] ครั้งล่าสุดประชุมวันที่ 21 กรกฎาคม นั้น…,
27,0:27,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นอั้มตอบผิด ครั้งล่าส…,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นน่ะ น้องตอบผิด ครั้ง…,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นน่ะ เราตอบผิดอ่ะ ครั…,,[Speaker 2] อ๋อ ถ้า ถ้า อย่าง งั้น อ่ะ หนู ตอบ ผิด …,[Speaker 4] ครั้งล่าสุดประชุมวันที่ 21 กรกฎาคม นั้น…,
28,0:28,[Speaker 1] 16 แล้วมันครั้งก่อนหน้านั้น 17 กรกฎาคมต…,[Speaker 3] ครั้งที่ 16 แล้วมันในเดือนนี้อ่ะเป็นครั…,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นน่ะ เราตอบผิดอ่ะ ครั…,,[Speaker 2] อ๋อ ถ้า ถ้า อย่าง งั้น อ่ะ หนู ตอบ ผิด …,[Speaker 1] ครั้งที่ 16 16 แล้วก็ วันที่ 17 กรกฎาคม…,
29,0:29,[Speaker 1] 16 แล้วมันครั้งก่อนหน้านั้น 17 กรกฎาคมต…,[Speaker 3] ครั้งที่ 16 แล้วมันในเดือนนี้อ่ะเป็นครั…,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นน่ะ เราตอบผิดอ่ะ ครั…,,[Speaker 2] อ๋อ ถ้า ถ้า อย่าง งั้น อ่ะ หนู ตอบ ผิด …,[Speaker 1] ครั้งที่ 16 16 แล้วก็ วันที่ 17 กรกฎาคม…,
30,0:30,[Speaker 1] 16 แล้วมันครั้งก่อนหน้านั้น 17 กรกฎาคมต…,[Speaker 3] ครั้งที่ 16 แล้วมันในเดือนนี้อ่ะเป็นครั…,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นน่ะ เราตอบผิดอ่ะ ครั…,,[Speaker 2] อ๋อ ถ้า ถ้า อย่าง งั้น อ่ะ หนู ตอบ ผิด …,[Speaker 1] ครั้งที่ 16 16 แล้วก็ วันที่ 17 กรกฎาคม…,
31,0:31,[Speaker 1] 16 แล้วมันครั้งก่อนหน้านั้น 17 กรกฎาคมต…,[Speaker 3] ครั้งที่ 16 แล้วมันในเดือนนี้อ่ะเป็นครั…,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นน่ะ เราตอบผิดอ่ะ ครั…,,[Speaker 2] อ๋อ ถ้า ถ้า อย่าง งั้น อ่ะ หนู ตอบ ผิด …,[Speaker 1] ครั้งที่ 16 16 แล้วก็ วันที่ 17 กรกฎาคม…,
32,0:32,[Speaker 2] 17,[Speaker 2] 17,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นน่ะ เราตอบผิดอ่ะ ครั…,,[Speaker 2] อ๋อ ถ้า ถ้า อย่าง งั้น อ่ะ หนู ตอบ ผิด …,[Speaker 1] ครั้งที่ 16 16 แล้วก็ วันที่ 17 กรกฎาคม…,
33,0:33,[Speaker 2] 17,[Speaker 3] แล้ววันที่ 14 จะเป็นประชุมครั้งที่ 18 ถ…,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นน่ะ เราตอบผิดอ่ะ ครั…,,[Speaker 1] แล้ว วัน ที่ 14 จะ เป็น ประชุม ครั้ง ที…,,
34,0:34,[Speaker 1] แล้ววันที่ 14 จะเป็นประชุมครั้งที่ 18 ถ…,[Speaker 3] แล้ววันที่ 14 จะเป็นประชุมครั้งที่ 18 ถ…,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นน่ะ เราตอบผิดอ่ะ ครั…,,[Speaker 1] แล้ว วัน ที่ 14 จะ เป็น ประชุม ครั้ง ที…,[Speaker 1] แล้ววันที่ 14 จะเป็นประชุมครั้งที่ 18 ถ…,
35,0:35,[Speaker 1] แล้ววันที่ 14 จะเป็นประชุมครั้งที่ 18 ถ…,[Speaker 3] แล้ววันที่ 14 จะเป็นประชุมครั้งที่ 18 ถ…,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นน่ะ เราตอบผิดอ่ะ ครั…,,[Speaker 1] แล้ว วัน ที่ 14 จะ เป็น ประชุม ครั้ง ที…,[Speaker 1] แล้ววันที่ 14 จะเป็นประชุมครั้งที่ 18 ถ…,
36,0:36,[Speaker 1] แล้ววันที่ 14 จะเป็นประชุมครั้งที่ 18 ถ…,[Speaker 3] แล้ววันที่ 14 จะเป็นประชุมครั้งที่ 18 ถ…,[Speaker 2] อ๋อ ถ้าถ้าอย่างนั้นน่ะ เราตอบผิดอ่ะ ครั…,,[Speaker 1] แล้ว วัน ที่ 14 จะ เป็น ประชุม ครั้ง ที…,[Speaker 1] แล้ววันที่ 14 จะเป็นประชุมครั้งที่ 18 ถ…,
37,0:37,[Speaker 1] แล้ววันที่ 14 จะเป็นประชุมครั้งที่ 18 ถ…,[Speaker 2] ดึงนิดนึง คือแทรกไปประชุมบอร์ดครั้งที่แ…,[Speaker 1] คือถ้าใส่เข้าไปประชุมบอร์ดครั้งที่แล้วไ…,,[Speaker 1] แล้ว วัน ที่ 14 จะ เป็น ประชุม ครั้ง ที…,,
38,0:38,[Speaker 3] คือจริงๆ แล้วประชุมบอร์ดครั้งที่แล้วไม่…,[Speaker 2] ดึงนิดนึง คือแทรกไปประชุมบอร์ดครั้งที่แ…,[Speaker 1] คือถ้าใส่เข้าไปประชุมบอร์ดครั้งที่แล้วไ…,,,[Speaker 5] ผมถามนิดนึง,
39,0:39,[Speaker 3] คือจริงๆ แล้วประชุมบอร์ดครั้งที่แล้วไม่…,[Speaker 2] ดึงนิดนึง คือแทรกไปประชุมบอร์ดครั้งที่แ…,[Speaker 1] คือถ้าใส่เข้าไปประชุมบอร์ดครั้งที่แล้วไ…,,[Speaker 2] แทรก เข้า ไป ประชุม บอร์ด ครั้ง ที่ แล้…,[Speaker 6] ที่แทรกเข้าเป็นประชุมบอร์ดครั้งที่แล้วไ…,
40,0:40,[Speaker 3] คือจริงๆ แล้วประชุมบอร์ดครั้งที่แล้วไม่…,[Speaker 2] ดึงนิดนึง คือแทรกไปประชุมบอร์ดครั้งที่แ…,[Speaker 1] คือถ้าใส่เข้าไปประชุมบอร์ดครั้งที่แล้วไ…,,[Speaker 2] แทรก เข้า ไป ประชุม บอร์ด ครั้ง ที่ แล้…,[Speaker 6] ที่แทรกเข้าเป็นประชุมบอร์ดครั้งที่แล้วไ…,
41,0:41,[Speaker 3] คือจริงๆ แล้วประชุมบอร์ดครั้งที่แล้วไม่…,[Speaker 2] ดึงนิดนึง คือแทรกไปประชุมบอร์ดครั้งที่แ…,[Speaker 1] คือถ้าใส่เข้าไปประชุมบอร์ดครั้งที่แล้วไ…,,[Speaker 2] แทรก เข้า ไป ประชุม บอร์ด ครั้ง ที่ แล้…,[Speaker 6] ที่แทรกเข้าเป็นประชุมบอร์ดครั้งที่แล้วไ…,
42,0:42,[Speaker 1] ก็ได้ ก็ถ้าถอด ถ้าทำได้ก็ทำได้,[Speaker 2] ดึงนิดนึง คือแทรกไปประชุมบอร์ดครั้งที่แ…,[Speaker 1] คือถ้าใส่เข้าไปประชุมบอร์ดครั้งที่แล้วไ…,,[Speaker 2] แทรก เข้า ไป ประชุม บอร์ด ครั้ง ที่ แล้…,,
43,0:43,[Speaker 1] ก็ได้ ก็ถ้าถอด ถ้าทำได้ก็ทำได้,[Speaker 3] ก็ได้ ก็ทำได้ ถ้าทำได้ก็ทำได้ ก็ไม่มีออ…,[Speaker 1] คือถ้าใส่เข้าไปประชุมบอร์ดครั้งที่แล้วไ…,,,[Speaker 1] ก็ได้,
44,0:44,[Speaker 4] ถ้าทำได้ก็ทำได้ แต่บริบทคือออดิทเห็นหรื…,[Speaker 3] ก็ได้ ก็ทำได้ ถ้าทำได้ก็ทำได้ ก็ไม่มีออ…,[Speaker 1] คือถ้าใส่เข้าไปประชุมบอร์ดครั้งที่แล้วไ…,,[Speaker 1] ก็ ได้ ก็ ได้ ก็ ทำ ได้ ก็ ทำ ได้ แต่ ว…,[Speaker 5] ก็ทำได้ก็ทำได้ ก็ทำได้,
45,0:45,[Speaker 4] ถ้าทำได้ก็ทำได้ แต่บริบทคือออดิทเห็นหรื…,[Speaker 3] ก็ได้ ก็ทำได้ ถ้าทำได้ก็ทำได้ ก็ไม่มีออ…,[Speaker 1] คือถ้าใส่เข้าไปประชุมบอร์ดครั้งที่แล้วไ…,,[Speaker 1] ก็ ได้ ก็ ได้ ก็ ทำ ได้ ก็ ทำ ได้ แต่ ว…,[Speaker 5] ก็ทำได้ก็ทำได้ ก็ทำได้,
46,0:46,[Speaker 4] ถ้าทำได้ก็ทำได้ แต่บริบทคือออดิทเห็นหรื…,[Speaker 3] ก็ได้ ก็ทำได้ ถ้าทำได้ก็ทำได้ ก็ไม่มีออ…,[Speaker 1] คือถ้าใส่เข้าไปประชุมบอร์ดครั้งที่แล้วไ…,,[Speaker 1] ก็ ได้ ก็ ได้ ก็ ทำ ได้ ก็ ทำ ได้ แต่ ว…,[Speaker 5] แต่ประเด็นคือ อดิตยัง,
47,0:47,[Speaker 4] ถ้าทำได้ก็ทำได้ แต่บริบทคือออดิทเห็นหรื…,[Speaker 2] เออ ออดิทยัง ถ้าเป็นครั้ง 16 ยังไม่เห็น…,[Speaker 2] เอ่อออดิท ยัง ถ้าเป็นครั้ง 16 16 ยังไม่…,,[Speaker 1] ก็ ได้ ก็ ได้ ก็ ทำ ได้ ก็ ทำ ได้ แต่ ว…,[Speaker 5] แต่ประเด็นคือ อดิตยัง,
48,0:48,[Speaker 2] เออ ออดิทยัง ถ้าเป็นครั้ง 16 ยังไม่เห็น…,[Speaker 2] เออ ออดิทยัง ถ้าเป็นครั้ง 16 ยังไม่เห็น…,[Speaker 2] เอ่อออดิท ยัง ถ้าเป็นครั้ง 16 16 ยังไม่…,,[Speaker 2] เอ่อ ออดิต ยัง ถ้า เป็น ครั้ง 16 ยัง ไม…,[Speaker 4] เอ่อ ออดิตยัง ถ้าเป็นครั้งที่ 16 ยังไม่…,
49,0:49,[Speaker 2] เออ ออดิทยัง ถ้าเป็นครั้ง 16 ยังไม่เห็น…,[Speaker 2] เออ ออดิทยัง ถ้าเป็นครั้ง 16 ยังไม่เห็น…,[Speaker 2] เอ่อออดิท ยัง ถ้าเป็นครั้ง 16 16 ยังไม่…,,[Speaker 2] เอ่อ ออดิต ยัง ถ้า เป็น ครั้ง 16 ยัง ไม…,[Speaker 4] เอ่อ ออดิตยัง ถ้าเป็นครั้งที่ 16 ยังไม่…,
50,0:50,[Speaker 2] เออ ออดิทยัง ถ้าเป็นครั้ง 16 ยังไม่เห็น…,[Speaker 2] เออ ออดิทยัง ถ้าเป็นครั้ง 16 ยังไม่เห็น…,[Speaker 2] เอ่อออดิท ยัง ถ้าเป็นครั้ง 16 16 ยังไม่…,,[Speaker 2] เอ่อ ออดิต ยัง ถ้า เป็น ครั้ง 16 ยัง ไม…,[Speaker 4] เอ่อ ออดิตยัง ถ้าเป็นครั้งที่ 16 ยังไม่…,
51,0:51,[Speaker 2] เออ ออดิทยัง ถ้าเป็นครั้ง 16 ยังไม่เห็น…,[Speaker 2] เออ ออดิทยัง ถ้าเป็นครั้ง 16 ยังไม่เห็น…,[Speaker 2] เอ่อออดิท ยัง ถ้าเป็นครั้ง 16 16 ยังไม่…,,[Speaker 2] เอ่อ ออดิต ยัง ถ้า เป็น ครั้ง 16 ยัง ไม…,[Speaker 4] เอ่อ ออดิตยัง ถ้าเป็นครั้งที่ 16 ยังไม่…,
52,0:52,[Speaker 2] เออ ออดิทยัง ถ้าเป็นครั้ง 16 ยังไม่เห็น…,[Speaker 2] เออ ออดิทยัง ถ้าเป็นครั้ง 16 ยังไม่เห็น…,[Speaker 2] เอ่อออดิท ยัง ถ้าเป็นครั้ง 16 16 ยังไม่…,,[Speaker 2] เอ่อ ออดิต ยัง ถ้า เป็น ครั้ง 16 ยัง ไม…,[Speaker 4] เอ่อ ออดิตยัง ถ้าเป็นครั้งที่ 16 ยังไม่…,
53,0:53,[Speaker 2] เออ ออดิทยัง ถ้าเป็นครั้ง 16 ยังไม่เห็น…,[Speaker 3] เออ ถ้าแทรกครั้งที่แล้วไป ก็ไปขอประธานบ…,[Speaker 1] เออถ้าใช่คราวที่แล้วไปก็ไปขอประธานบอกบอ…,,[Speaker 2] เอ่อ ออดิต ยัง ถ้า เป็น ครั้ง 16 ยัง ไม…,[Speaker 4] เอ่อ ออดิตยัง ถ้าเป็นครั้งที่ 16 ยังไม่…,
54,0:54,[Speaker 1] เออ ถ้าได้ คราวนี้ก็ไปขอประธาน ขอปรับวา…,[Speaker 3] เออ ถ้าแทรกครั้งที่แล้วไป ก็ไปขอประธานบ…,[Speaker 1] เออถ้าใช่คราวที่แล้วไปก็ไปขอประธานบอกบอ…,,[Speaker 1] เออ ถ้า ใช่ ถ้า อย่าง งั้น ไป ก็ ไป ขอ …,[Speaker 1] เออ ถ้าแทรกครั้งที่แล้วเป็น ก็ไปขอประธา…,
55,0:55,[Speaker 1] เออ ถ้าได้ คราวนี้ก็ไปขอประธาน ขอปรับวา…,[Speaker 3] เออ ถ้าแทรกครั้งที่แล้วไป ก็ไปขอประธานบ…,[Speaker 1] เออถ้าใช่คราวที่แล้วไปก็ไปขอประธานบอกบอ…,,[Speaker 1] เออ ถ้า ใช่ ถ้า อย่าง งั้น ไป ก็ ไป ขอ …,[Speaker 1] เออ ถ้าแทรกครั้งที่แล้วเป็น ก็ไปขอประธา…,
56,0:56,[Speaker 1] เออ ถ้าได้ คราวนี้ก็ไปขอประธาน ขอปรับวา…,[Speaker 3] เออ ถ้าแทรกครั้งที่แล้วไป ก็ไปขอประธานบ…,[Speaker 1] เออถ้าใช่คราวที่แล้วไปก็ไปขอประธานบอกบอ…,,[Speaker 1] เออ ถ้า ใช่ ถ้า อย่าง งั้น ไป ก็ ไป ขอ …,[Speaker 1] เออ ถ้าแทรกครั้งที่แล้วเป็น ก็ไปขอประธา…,
57,0:57,[Speaker 4] เออ ก็ไปขอ ถ้าอย่างนั้นก็ไปขอ ไปขอ,[Speaker 3] เออ ถ้าแทรกครั้งที่แล้วไป ก็ไปขอประธานบ…,[Speaker 1] เออถ้าใช่คราวที่แล้วไปก็ไปขอประธานบอกบอ…,,[Speaker 1] เออ ถ้า ใช่ ถ้า อย่าง งั้น ไป ก็ ไป ขอ …,[Speaker 1] เออ ถ้าแทรกครั้งที่แล้วเป็น ก็ไปขอประธา…,
58,0:58,[Speaker 4] เออ ก็ไปขอ ถ้าอย่างนั้นก็ไปขอ ไปขอ,[Speaker 4] เออ ก็ไปขอ ถ้าอย่างนั้นก็ไปขอ ไปขอประธา…,[Speaker 1] เออถ้าใช่คราวที่แล้วไปก็ไปขอประธานบอกบอ…,,[Speaker 1] เออ ถ้า ใช่ ถ้า อย่าง งั้น ไป ก็ ไป ขอ …,[Speaker 5] เออ ก็ไป ถ้างั้นก็ไปขอ,
59,0:59,[Speaker 4] เออ ก็ไปขอ ถ้าอย่างนั้นก็ไปขอ ไปขอ,[Speaker 4] เออ ก็ไปขอ ถ้าอย่างนั้นก็ไปขอ ไปขอประธา…,[Speaker 1] เออถ้าใช่คราวที่แล้วไปก็ไปขอประธานบอกบอ…,,[Speaker 1] เออ ถ้า ใช่ ถ้า อย่าง งั้น ไป ก็ ไป ขอ …,[Speaker 5] เออ ก็ไป ถ้างั้นก็ไปขอ,
