second,mm_ss,gemini-3.6-flash,gemini-3.5-flash,gemini-3.5-flash-lite,gemini-3-flash,gemini-3.1-flash-lite,gemini-2.5-flash,gemini-2.5-flash-lite
52,0:52,,[Speaker 2] เอ่อ ออดิตยัง ถ้าเป็นครั้ง 16 ยังไม่เห็…,,,[Speaker 2] เอ่อออดิทยัง ถ้าเป็นครั้งที่ 16 ยังไม่เ…,[Speaker 4] เอ่อ ออดิท ยัง ถ้า เป็น ครั้ง 16 ยัง ไม…,
53,0:53,,[Speaker 2] เอ่อ ออดิตยัง ถ้าเป็นครั้ง 16 ยังไม่เห็…,,,,,
54,0:54,,,,,[Speaker 1] เออถ้าถ้าอย่างนั้นไปก็ไปขอประธานบอกว่าข…,[Speaker 1] เอ้อ ถ้า แทรก เข้า ไป แล้ว เป็น ก็ ไป ข…,
55,0:55,,,,,[Speaker 1] เออถ้าถ้าอย่างนั้นไปก็ไปขอประธานบอกว่าข…,[Speaker 1] เอ้อ ถ้า แทรก เข้า ไป แล้ว เป็น ก็ ไป ข…,
56,0:56,,,,,[Speaker 1] เออถ้าถ้าอย่างนั้นไปก็ไปขอประธานบอกว่าข…,[Speaker 1] เอ้อ ถ้า แทรก เข้า ไป แล้ว เป็น ก็ ไป ข…,
57,0:57,,,,,,[Speaker 1] เอ้อ ถ้า แทรก เข้า ไป แล้ว เป็น ก็ ไป ข…,
58,0:58,,,,,[Speaker 2] เออ ก็ไป ถ้าอย่างนั้นก็ไปขอ,[Speaker 2] เออ ก็ ไป ถ้า งั้น ก็ ไป ขอ บอร์ด,
59,0:59,,,,,[Speaker 2] เออ ก็ไป ถ้าอย่างนั้นก็ไปขอ,,
60,1:00,,,,,,[Speaker 4] ไป ขอ,
61,1:01,,,,,[Speaker 2] เราไปจดประเด็น กรรมการก็ออกล่าช้า เราก็…,[Speaker 4] ไป ขอ,
62,1:02,,,,,[Speaker 2] เราไปจดประเด็น กรรมการก็ออกล่าช้า เราก็…,[Speaker 4] ไป ขอ,
63,1:03,,,,,[Speaker 2] เราไปจดประเด็น กรรมการก็ออกล่าช้า เราก็…,[Speaker 4] ไป ขอ,
64,1:04,,,,,,[Speaker 4] ไป ขอ,
65,1:05,,,,,[Speaker 1] คุณพูดก็แค่บอกว่าคุณปุ้มจะลาออกไม่ได้ตั…,[Speaker 4] ไป ขอ,
66,1:06,,,,,[Speaker 1] คุณพูดก็แค่บอกว่าคุณปุ้มจะลาออกไม่ได้ตั…,[Speaker 4] ไป ขอ,
67,1:07,,,,,[Speaker 1] คุณพูดก็แค่บอกว่าคุณปุ้มจะลาออกไม่ได้ตั…,[Speaker 4] ไป ขอ,
68,1:08,,,,,,[Speaker 4] ไป ขอ,
69,1:09,,,,,[Speaker 2] เออแจ้งวันนั้นแล้วว่า,[Speaker 4] ไป ขอ,
70,1:10,,,,,,[Speaker 4] ไป ขอ,
71,1:11,,,,,[Speaker 2] จะคอยเปลี่ยนที่ประชุมที่ 30 หรืออะไรก็ไ…,[Speaker 4] ไป ขอ,
72,1:12,,,,,[Speaker 2] จะคอยเปลี่ยนที่ประชุมที่ 30 หรืออะไรก็ไ…,[Speaker 4] ไป ขอ,
73,1:13,,,,,,[Speaker 4] ไป ขอ,
74,1:14,,,,,[Speaker 2] เอ๊ยมันเป็นเอฟเฟกต์วันที่ 1,[Speaker 4] ไป ขอ,
75,1:15,,,,,,[Speaker 4] ไป ขอ,
76,1:16,,,,,[Speaker 1] พฤษภาคม ใช่,[Speaker 4] ไป ขอ,
77,1:17,,,,,[Speaker 1] เออตอนนี้เนี่ยอันนี้ไปแทรกผ่านมาแล้ว,[Speaker 4] ไป ขอ,
78,1:18,,,,,[Speaker 1] เออตอนนี้เนี่ยอันนี้ไปแทรกผ่านมาแล้ว,[Speaker 4] ไป ขอ,
79,1:19,,,,,[Speaker 1] เออตอนนี้เนี่ยอันนี้ไปแทรกผ่านมาแล้ว,[Speaker 4] ไป ขอ,
80,1:20,,,,,[Speaker 1] อืม แล้วก็จะเริ่มมาดู,[Speaker 4] ไป ขอ,
81,1:21,,,,,[Speaker 1] อืม แล้วก็จะเริ่มมาดู,[Speaker 4] ไป ขอ,
82,1:22,,,,,[Speaker 2] เริ่มเมื่อวันจันทร์ เมื่อวานนี้นิดเดียว,[Speaker 4] ไป ขอ,
83,1:23,,,,,[Speaker 2] เริ่มเมื่อวันจันทร์ เมื่อวานนี้นิดเดียว,[Speaker 4] ไป ขอ,
84,1:24,,,,,[Speaker 2] เริ่มเมื่อวันจันทร์ เมื่อวานนี้นิดเดียว,[Speaker 4] ไป ขอ,
85,1:25,,,,,[Speaker 2] เริ่มเมื่อวันจันทร์ เมื่อวานนี้นิดเดียว,[Speaker 4] ไป ขอ,
86,1:26,,,,,,[Speaker 4] ไป ขอ,
87,1:27,,,,,[Speaker 1] มติ,[Speaker 4] ไป ขอ,
88,1:28,,,,,,[Speaker 4] ไป ขอ,
89,1:29,,,,,[Speaker 1] เมื่อกี้ที่คุณจะบอกบอกว่าคุณมีล่าสุดเมื…,[Speaker 4] ไป ขอ,
90,1:30,,,,,[Speaker 1] เมื่อกี้ที่คุณจะบอกบอกว่าคุณมีล่าสุดเมื…,[Speaker 4] ไป ขอ,
91,1:31,,,,,[Speaker 1] เมื่อกี้ที่คุณจะบอกบอกว่าคุณมีล่าสุดเมื…,[Speaker 4] ไป ขอ,
92,1:32,,,,,[Speaker 1] เมื่อกี้ที่คุณจะบอกบอกว่าคุณมีล่าสุดเมื…,[Speaker 4] ไป ขอ,
93,1:33,,,,,[Speaker 1] เมื่อกี้ที่คุณจะบอกบอกว่าคุณมีล่าสุดเมื…,[Speaker 4] ไป ขอ,
94,1:34,,,,,,[Speaker 4] ไป ขอ,
95,1:35,,,,,,[Speaker 4] ไป ขอ,
96,1:36,,,,,,[Speaker 4] ไป ขอ,
97,1:37,,,,,,[Speaker 4] ไป ขอ,
98,1:38,,,,,[Speaker 1] อือฮึ โอ้มันต่างอย่างนี้มันเป็นมันเป็นม…,[Speaker 4] ไป ขอ,
99,1:39,,,,,[Speaker 1] อือฮึ โอ้มันต่างอย่างนี้มันเป็นมันเป็นม…,[Speaker 4] ไป ขอ,
100,1:40,,,,,[Speaker 1] อือฮึ โอ้มันต่างอย่างนี้มันเป็นมันเป็นม…,[Speaker 4] ไป ขอ,
101,1:41,,,,,[Speaker 1] ก็เลยแก้แก้ครั้งที่แล้วได้,,
102,1:42,,,,,[Speaker 1] ก็เลยแก้แก้ครั้งที่แล้วได้,[Speaker 5] แล้ว ที่ ประชุม กรรมการ ออก ล่า ช้า,
103,1:43,,,,,,[Speaker 5] แล้ว ที่ ประชุม กรรมการ ออก ล่า ช้า,
104,1:44,,,,,[Speaker 1] มั้งผมหรือถ้าผมดูในเลือก 17,,
105,1:45,,,,,[Speaker 1] มั้งผมหรือถ้าผมดูในเลือก 17,,
106,1:46,,,,,[Speaker 1] ถ้าอย่างนั้นใส่ 17 ได้,[Speaker 1] คุณ ปุ้ม ก็ แค่ บอก ว่า คุณ ปุ้ม จะ เรา…,
107,1:47,,,,,[Speaker 1] ถ้าอย่างนั้นใส่ 17 ได้,[Speaker 1] คุณ ปุ้ม ก็ แค่ บอก ว่า คุณ ปุ้ม จะ เรา…,
108,1:48,,,,,,[Speaker 2] อ๋อ,
109,1:49,,,,,[Speaker 1] เพราะว่าบอร์ดใหญ่มันมีหลายทุนทุนมันโอเค…,[Speaker 1] แจ้ง วัน นั้น แล้ว บอร์ด ก็ ไม่ ได้,
110,1:50,,,,,[Speaker 1] เพราะว่าบอร์ดใหญ่มันมีหลายทุนทุนมันโอเค…,[Speaker 1] แจ้ง วัน นั้น แล้ว บอร์ด ก็ ไม่ ได้,
111,1:51,,,,,[Speaker 1] เพราะว่าบอร์ดใหญ่มันมีหลายทุนทุนมันโอเค…,[Speaker 2] แต่ ถ้า เก่ง เอฟเฟกทีฟ วัน ที่ 31 กรกฎา…,
112,1:52,,,,,[Speaker 1] เพราะว่าบอร์ดใหญ่มันมีหลายทุนทุนมันโอเค…,[Speaker 2] แต่ ถ้า เก่ง เอฟเฟกทีฟ วัน ที่ 31 กรกฎา…,
113,1:53,,,,,[Speaker 1] เพราะว่าบอร์ดใหญ่มันมีหลายทุนทุนมันโอเค…,[Speaker 4] เอ้ย มัน,
114,1:54,,,,,,[Speaker 1] เอฟเฟกทีฟ วัน ที่ 1 สิงหาคม,
115,1:55,,,,,[Speaker 1] ค่ะ แล้วรอบที่แล้วคือ 20,[Speaker 1] เอฟเฟกทีฟ วัน ที่ 1 สิงหาคม,
116,1:56,,,,,[Speaker 2] แล้วรอบ,[Speaker 2] เออ เนี่ย,
117,1:57,,,,,[Speaker 2] เมื่อไหร่,[Speaker 1] แล้ว เนี้ย แล้ว เนี้ย ไป แทรก ครั้ง ที่…,
118,1:58,,,,,[Speaker 1] อือ 21 21 กรกฎาคมค่ะ,[Speaker 1] แล้ว เนี้ย แล้ว เนี้ย ไป แทรก ครั้ง ที่…,
119,1:59,,,,,[Speaker 1] อือ 21 21 กรกฎาคมค่ะ,[Speaker 1] แล้ว เนี้ย แล้ว เนี้ย ไป แทรก ครั้ง ที่…,
120,2:00,,,,,[Speaker 1] อือ 21 21 กรกฎาคมค่ะ,,
121,2:01,,,,,,[Speaker 2] แล้ว ก็ จะ ได้ มา ดู,
122,2:02,,,,,[Speaker 1] ลงโทษวันที่ 16,[Speaker 4] เมื่อ วัน เรื่อง เมื่อ วัน จันทร์ ว่า ว…,
123,2:03,,,,,,[Speaker 4] เมื่อ วัน เรื่อง เมื่อ วัน จันทร์ ว่า ว…,
124,2:04,,,,,[Speaker 1] ถ้าอย่างนั้นก็ไปไปแทรกอยู่ในวันที่ 21,[Speaker 2] ไม่ ได้ นิด เดียว เมื่อ กี้ ที่ ผม ต้อง…,
125,2:05,,,,,[Speaker 1] ถ้าอย่างนั้นก็ไปไปแทรกอยู่ในวันที่ 21,[Speaker 2] ไม่ ได้ นิด เดียว เมื่อ กี้ ที่ ผม ต้อง…,
126,2:06,,,,,[Speaker 1] ถ้าอย่างนั้นก็ไปไปแทรกอยู่ในวันที่ 21,[Speaker 2] ไม่ ได้ นิด เดียว เมื่อ กี้ ที่ ผม ต้อง…,
127,2:07,,,,,[Speaker 1] อะค่ะ แล้วก็โทรบอกบอร์ดอะ,,
128,2:08,,,,,[Speaker 1] อะค่ะ แล้วก็โทรบอกบอร์ดอะ,[Speaker 4] ลง ครั้ง ก่อน หน้า นี้ หรอ คะ,
129,2:09,,,,,,[Speaker 4] ลง ครั้ง ก่อน หน้า นี้ หรอ คะ,
130,2:10,,,,,,,
131,2:11,,,,,[Speaker 1] อ่า ไม่ต้องบอกผมผมรับทราบละแล้วในนั้นน่…,,
132,2:12,,,,,[Speaker 1] อ่า ไม่ต้องบอกผมผมรับทราบละแล้วในนั้นน่…,[Speaker 1] ถ้า คุณ ต้อง ตอบ อย่าง งี้ เป็น เป็น มั…,
133,2:13,,,,,[Speaker 1] อ่า ไม่ต้องบอกผมผมรับทราบละแล้วในนั้นน่…,[Speaker 1] ถ้า คุณ ต้อง ตอบ อย่าง งี้ เป็น เป็น มั…,
134,2:14,,,,,[Speaker 1] คือผมขอให้เห็นเหตุผลนะมันคือ,[Speaker 1] ถ้า คุณ ต้อง ตอบ อย่าง งี้ เป็น เป็น มั…,
135,2:15,,,,,[Speaker 1] คือผมขอให้เห็นเหตุผลนะมันคือ,[Speaker 1] ถ้า คุณ ต้อง ตอบ อย่าง งี้ เป็น เป็น มั…,
136,2:16,,,,,,[Speaker 1] ถ้า คุณ ต้อง ตอบ อย่าง งี้ เป็น เป็น มั…,
137,2:17,,,,,[Speaker 1] ประมาณว่า,[Speaker 2] ผม หรือ ถ้า ผม ดู 16,
138,2:18,,,,,,[Speaker 2] ผม หรือ ถ้า ผม ดู 16,
139,2:19,,,,,[Speaker 1] 1. อยากโฟกัส 2. เนี่ยอยากหาคนที่มีความเ…,[Speaker 1] ถ้า งั้น ใส่ 17 ได้,
140,2:20,,,,,[Speaker 1] 1. อยากโฟกัส 2. เนี่ยอยากหาคนที่มีความเ…,,
141,2:21,,,,,[Speaker 1] 1. อยากโฟกัส 2. เนี่ยอยากหาคนที่มีความเ…,,
142,2:22,,,,,[Speaker 1] 1. อยากโฟกัส 2. เนี่ยอยากหาคนที่มีความเ…,[Speaker 2] เพราะ ว่า บอร์ด ใหญ่ มัน มี หลาย คน ทุน…,
143,2:23,,,,,,[Speaker 2] เพราะ ว่า บอร์ด ใหญ่ มัน มี หลาย คน ทุน…,
144,2:24,,,,,[Speaker 1] เข้ามา,[Speaker 2] เพราะ ว่า บอร์ด ใหญ่ มัน มี หลาย คน ทุน…,
145,2:25,,,,,[Speaker 1] เข้ามา,[Speaker 2] เพราะ ว่า บอร์ด ใหญ่ มัน มี หลาย คน ทุน…,
146,2:26,,,,,[Speaker 1] คือหมายความว่าคุณคุณปุ้มอยากโฟกัสคนอื่น,[Speaker 2] เพราะ ว่า บอร์ด ใหญ่ มัน มี หลาย คน ทุน…,
147,2:27,,,,,[Speaker 1] คือหมายความว่าคุณคุณปุ้มอยากโฟกัสคนอื่น,[Speaker 2] เพราะ ว่า บอร์ด ใหญ่ มัน มี หลาย คน ทุน…,
148,2:28,,,,,[Speaker 1] คือหมายความว่าคุณคุณปุ้มอยากโฟกัสคนอื่น,,
149,2:29,,,,,,[Speaker 2] ตอน บอร์ด รอบ ที่ แล้ว วัน ที่ 20 มัน ห…,
150,2:30,,,,,[Speaker 2] จริงจริงจริงจริงเวลาก็ไปบอกไปบอกได้เลยค…,[Speaker 2] ตอน บอร์ด รอบ ที่ แล้ว วัน ที่ 20 มัน ห…,
151,2:31,,,,,[Speaker 2] จริงจริงจริงจริงเวลาก็ไปบอกไปบอกได้เลยค…,,
152,2:32,,,,,[Speaker 2] เลยได้ครับ,,
153,2:33,,,,,[Speaker 2] ใช่ค่ะ อ๋อมีคำถามนะคะ เพราะว่า,,
154,2:34,,,,,[Speaker 2] ใช่ค่ะ อ๋อมีคำถามนะคะ เพราะว่า,[Speaker 4] 21 21 กรกฎาคม ค่ะ,
