second,mm_ss,gemini-3.6-flash,gemini-3.5-flash,gemini-3.5-flash-lite,gemini-3-flash,gemini-3.1-flash-lite,gemini-2.5-flash,gemini-2.5-flash-lite
11,0:11,[Speaker 1] เน่ามา เราจะทำขยะให้มันดี มันก็คงทำไม่ไ…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] วัดจากอะไร ทำ จากของบัวกำลังจะแบบ โผลพ้…,,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[CEO Poom] วัด จาก อะไร ทำ จาก ของ บัว กำลัง จะ แบ…,
12,0:12,[Speaker 1] เน่ามา เราจะทำขยะให้มันดี มันก็คงทำไม่ไ…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] วัดจากอะไร ทำ จากของบัวกำลังจะแบบ โผลพ้…,,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[CEO Poom] วัด จาก อะไร ทำ จาก ของ บัว กำลัง จะ แบ…,
13,0:13,[Speaker 1] เน่ามา เราจะทำขยะให้มันดี มันก็คงทำไม่ไ…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] วัดจากอะไร ทำ จากของบัวกำลังจะแบบ โผลพ้…,,[Speaker 1] วัดจากอะไรทำจากของบัวกำลังจะแบบโผล่พ้นน…,[CEO Poom] วัด จาก อะไร ทำ จาก ของ บัว กำลัง จะ แบ…,
14,0:14,[Speaker 1] เน่ามา เราจะทำขยะให้มันดี มันก็คงทำไม่ไ…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] วัดจากอะไร ทำ จากของบัวกำลังจะแบบ โผลพ้…,,[Speaker 1] วัดจากอะไรทำจากของบัวกำลังจะแบบโผล่พ้นน…,[CEO Poom] วัด จาก อะไร ทำ จาก ของ บัว กำลัง จะ แบ…,
15,0:15,[Speaker 1] เน่ามา เราจะทำขยะให้มันดี มันก็คงทำไม่ไ…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] วัดจากอะไร ทำ จากของบัวกำลังจะแบบ โผลพ้…,,[Speaker 1] วัดจากอะไรทำจากของบัวกำลังจะแบบโผล่พ้นน…,[CEO Poom] วัด จาก อะไร ทำ จาก ของ บัว กำลัง จะ แบ…,
16,0:16,[Speaker 1] เน่ามา เราจะทำขยะให้มันดี มันก็คงทำไม่ไ…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] วัดจากอะไรทำจากของบัวกำลังจะแบบโผล่พ้นน…,[CEO Poom] แต่ ถ้า บัว ใต้ ตม เนี่ย มัน ขุด ไม่ ขึ…,
17,0:17,[Speaker 1] เน่ามา เราจะทำขยะให้มันดี มันก็คงทำไม่ไ…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] แต่ถ้าบัวใต้ตมเนี่ย มันขุดไม่ขึ้นอ่ะ,,[Speaker 1] วัดจากอะไรทำจากของบัวกำลังจะแบบโผล่พ้นน…,[CEO Poom] แต่ ถ้า บัว ใต้ ตม เนี่ย มัน ขุด ไม่ ขึ…,
18,0:18,[Speaker 1] เน่ามา เราจะทำขยะให้มันดี มันก็คงทำไม่ไ…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] แต่ถ้าบัวใต้ตมเนี่ย มันขุดไม่ขึ้นอ่ะ,,[Speaker 1] วัดจากอะไรทำจากของบัวกำลังจะแบบโผล่พ้นน…,[CEO Poom] แต่ ถ้า บัว ใต้ ตม เนี่ย มัน ขุด ไม่ ขึ…,
19,0:19,[Speaker 1] เน่ามา เราจะทำขยะให้มันดี มันก็คงทำไม่ไ…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] ก็ต้องตัดออก อันนี้คือ KPI ข้อที่ 1,,
20,0:20,[Speaker 1] เน่ามา เราจะทำขยะให้มันดี มันก็คงทำไม่ไ…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ก็ต้องตัดออก อันนี้คือ KPI ข้อหนึ่ง,,[Speaker 1] ก็ต้องตัดออก อันนี้คือ KPI ข้อที่ 1,,
21,0:21,[Speaker 1] เน่ามา เราจะทำขยะให้มันดี มันก็คงทำไม่ไ…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ก็ต้องตัดออก อันนี้คือ KPI ข้อหนึ่ง,,[Speaker 1] ก็ต้องตัดออก อันนี้คือ KPI ข้อที่ 1,[CEO Poom] ก็ ตัด ออก,
22,0:22,[Speaker 1] เน่ามา เราจะทำขยะให้มันดี มันก็คงทำไม่ไ…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ก็ต้องตัดออก อันนี้คือ KPI ข้อหนึ่ง,,[Speaker 1] ก็ต้องตัดออก อันนี้คือ KPI ข้อที่ 1,,
23,0:23,[Speaker 1] เน่ามา เราจะทำขยะให้มันดี มันก็คงทำไม่ไ…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ก็ต้องตัดออก อันนี้คือ KPI ข้อหนึ่ง,,[Speaker 1] ก็ต้องตัดออก อันนี้คือ KPI ข้อที่ 1,[CEO Poom] อัน นี้ คือ KPI ข้อ 1,
24,0:24,[Speaker 1] เน่ามา เราจะทำขยะให้มันดี มันก็คงทำไม่ไ…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ก็ต้องตัดออก อันนี้คือ KPI ข้อหนึ่ง,,[Speaker 1] แล้วจากที่ทำ KPI ข้อ 1 แล้วพึ่งพูดแบบนี…,,
25,0:25,[Speaker 1] เน่ามา เราจะทำขยะให้มันดี มันก็คงทำไม่ไ…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] แล้วจากที่ทำ KPI ข้อ 1 แล้วพึ่งพูดแบบนี…,,
26,0:26,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] แล้วจากที่ทำ KPI ข้อ 1 แล้วพึ่งพูดแบบนี…,,
27,0:27,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] แล้วจากที่ทำ KPI ข้อ 1 แล้วพึ่งพูดแบบนี…,,[Speaker 1] แล้วจากที่ทำ KPI ข้อ 1 แล้วพึ่งพูดแบบนี…,[CEO Poom] แล้ว จาก ที่ เรา ทำ KPI ข้อ 1 แล้ว พุ่ม…,
28,0:28,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] แล้วจากที่ทำ KPI ข้อ 1 แล้วพึ่งพูดแบบนี…,,[Speaker 1] แล้วจากที่ทำ KPI ข้อ 1 แล้วพึ่งพูดแบบนี…,[CEO Poom] แล้ว จาก ที่ เรา ทำ KPI ข้อ 1 แล้ว พุ่ม…,
29,0:29,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] แล้วจากที่ทำ KPI ข้อ 1 แล้วพึ่งพูดแบบนี…,,[Speaker 1] แล้วจากที่ทำ KPI ข้อ 1 แล้วพึ่งพูดแบบนี…,[CEO Poom] แล้ว จาก ที่ เรา ทำ KPI ข้อ 1 แล้ว พุ่ม…,
30,0:30,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ข้อสองก็คือ เราตั้งใจ ที่จะทำให้บัวที่ม…,,[Speaker 1] แล้วจากที่ทำ KPI ข้อ 1 แล้วพึ่งพูดแบบนี…,[CEO Poom] ข้อ 2,
31,0:31,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ข้อสองก็คือ เราตั้งใจ ที่จะทำให้บัวที่ม…,,[Speaker 1] แล้วจากที่ทำ KPI ข้อ 1 แล้วพึ่งพูดแบบนี…,[CEO Poom] ก็ คือ เรา ตั้ง ใจ ที่ จะ ทำ ให้ บัว ที…,
32,0:32,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ข้อสองก็คือ เราตั้งใจ ที่จะทำให้บัวที่ม…,,[Speaker 1] แล้วจากที่ทำ KPI ข้อ 1 แล้วพึ่งพูดแบบนี…,[CEO Poom] ก็ คือ เรา ตั้ง ใจ ที่ จะ ทำ ให้ บัว ที…,
33,0:33,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ข้อสองก็คือ เราตั้งใจ ที่จะทำให้บัวที่ม…,,[Speaker 1] แล้วจากที่ทำ KPI ข้อ 1 แล้วพึ่งพูดแบบนี…,[CEO Poom] ก็ คือ เรา ตั้ง ใจ ที่ จะ ทำ ให้ บัว ที…,
34,0:34,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ข้อสองก็คือ เราตั้งใจ ที่จะทำให้บัวที่ม…,,[Speaker 1] แล้วจากที่ทำ KPI ข้อ 1 แล้วพึ่งพูดแบบนี…,[CEO Poom] ก็ คือ เรา ตั้ง ใจ ที่ จะ ทำ ให้ บัว ที…,
35,0:35,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ข้อสองก็คือ เราตั้งใจ ที่จะทำให้บัวที่ม…,,[Speaker 1] แล้วจากที่ทำ KPI ข้อ 1 แล้วพึ่งพูดแบบนี…,[CEO Poom] ก็ คือ เรา ตั้ง ใจ ที่ จะ ทำ ให้ บัว ที…,
36,0:36,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ข้อสองก็คือ เราตั้งใจ ที่จะทำให้บัวที่ม…,,[Speaker 1] แล้วจากที่ทำ KPI ข้อ 1 แล้วพึ่งพูดแบบนี…,[CEO Poom] ก็ คือ เรา ตั้ง ใจ ที่ จะ ทำ ให้ บัว ที…,
37,0:37,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ข้อสองก็คือ เราตั้งใจ ที่จะทำให้บัวที่ม…,,[Speaker 1] ซึ่งเราไม่ได้ทำแค่ของตัวเอง ถ้าเราทำของ…,[CEO Poom] เรา ก็ ต้อง วัด ได้ ไหม ฮะ ว่า มัน กี่ …,
38,0:38,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ข้อสองก็คือ เราตั้งใจ ที่จะทำให้บัวที่ม…,,[Speaker 1] ซึ่งเราไม่ได้ทำแค่ของตัวเอง ถ้าเราทำของ…,[CEO Poom] เรา ก็ ต้อง วัด ได้ ไหม ฮะ ว่า มัน กี่ …,
39,0:39,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ข้อสองก็คือ เราตั้งใจ ที่จะทำให้บัวที่ม…,,[Speaker 1] ซึ่งเราไม่ได้ทำแค่ของตัวเอง ถ้าเราทำของ…,[CEO Poom] เรา ก็ ต้อง วัด ได้ ไหม ฮะ ว่า มัน กี่ …,
40,0:40,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] ซึ่งเราไม่ได้ทำแค่ของตัวเอง ถ้าเราทำของ…,,
41,0:41,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] ซึ่งเราไม่ได้ทำแค่ของตัวเอง ถ้าเราทำของ…,,
42,0:42,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ซึ่ง เราไม่ได้ทำแค่ของตัวเอง ถ้าเราทำขอ…,,[Speaker 1] ซึ่งเราไม่ได้ทำแค่ของตัวเอง ถ้าเราทำของ…,[CEO Poom] ซึ่ง เรา ไม่ ได้ ทำ แค่ ของ ตัว เอง,
43,0:43,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ซึ่ง เราไม่ได้ทำแค่ของตัวเอง ถ้าเราทำขอ…,,[Speaker 1] ซึ่งเราไม่ได้ทำแค่ของตัวเอง ถ้าเราทำของ…,[CEO Poom] ซึ่ง เรา ไม่ ได้ ทำ แค่ ของ ตัว เอง,
44,0:44,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ซึ่ง เราไม่ได้ทำแค่ของตัวเอง ถ้าเราทำขอ…,,[Speaker 1] ซึ่งเราไม่ได้ทำแค่ของตัวเอง ถ้าเราทำของ…,[CEO Poom] ซึ่ง เรา ไม่ ได้ ทำ แค่ ของ ตัว เอง,
45,0:45,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ซึ่ง เราไม่ได้ทำแค่ของตัวเอง ถ้าเราทำขอ…,,[Speaker 1] แล้วนั่นคือกำไรที่แท้จริงของเราคือข้อ 3…,[CEO Poom] ซึ่ง เรา ไม่ ได้ ทำ แค่ ของ ตัว เอง,
46,0:46,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ซึ่ง เราไม่ได้ทำแค่ของตัวเอง ถ้าเราทำขอ…,,[Speaker 1] แล้วนั่นคือกำไรที่แท้จริงของเราคือข้อ 3…,[CEO Poom] ถ้า เรา ทำ ของ ตัว เอง ได้ เรา ควร จะ ไ…,
47,0:47,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ซึ่ง เราไม่ได้ทำแค่ของตัวเอง ถ้าเราทำขอ…,,[Speaker 1] แล้วนั่นคือกำไรที่แท้จริงของเราคือข้อ 3…,[CEO Poom] ถ้า เรา ทำ ของ ตัว เอง ได้ เรา ควร จะ ไ…,
48,0:48,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ซึ่ง เราไม่ได้ทำแค่ของตัวเอง ถ้าเราทำขอ…,,[Speaker 1] แล้วนั่นคือกำไรที่แท้จริงของเราคือข้อ 3…,[CEO Poom] ถ้า เรา ทำ ของ ตัว เอง ได้ เรา ควร จะ ไ…,
49,0:49,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] แล้วนั่นคือกำไรที่แท้จริงของเราคือข้อ 3…,,
50,0:50,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] และนั่นคือกำไรที่แท้จริงของเรารูปข้อ 3,,[Speaker 1] แล้วนั่นคือกำไรที่แท้จริงของเราคือข้อ 3…,[CEO Poom] แล้ว นั่น คือ กำไร ที่ แท้ จริง ของ เรา…,
51,0:51,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] และนั่นคือกำไรที่แท้จริงของเรารูปข้อ 3,,[Speaker 1] แล้วนั่นคือกำไรที่แท้จริงของเราคือข้อ 3…,[CEO Poom] แล้ว นั่น คือ กำไร ที่ แท้ จริง ของ เรา…,
52,0:52,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] และนั่นคือกำไรที่แท้จริงของเรารูปข้อ 3,,[Speaker 1] มันคือคำต่อท้ายที่บอกว่า Maximize Asset…,,
53,0:53,[Speaker 1] แล้วหลังจากที่เราทำ KPI ข้อ 1 ที่อุ้มพู…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] มันคือคำต่อท้ายที่บอกว่า Maximize Asset…,,
54,0:54,[Speaker 1] ถ้าเราทำที่แท้จริงของเราได้ ในข้อ 3 มัน…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ถ้าเราทำที่แท้จริงของเราได้ ในข้อ 3,,[Speaker 1] มันคือคำต่อท้ายที่บอกว่า Maximize Asset…,[CEO Poom] ถ้า เรา ทำ ที่ แท้ จริง ของ เรา ได้ ใน …,
55,0:55,[Speaker 1] ถ้าเราทำที่แท้จริงของเราได้ ในข้อ 3 มัน…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ถ้าเราทำที่แท้จริงของเราได้ ในข้อ 3,,[Speaker 1] มันคือคำต่อท้ายที่บอกว่า Maximize Asset…,[CEO Poom] ถ้า เรา ทำ ที่ แท้ จริง ของ เรา ได้ ใน …,
56,0:56,[Speaker 1] ถ้าเราทำที่แท้จริงของเราได้ ในข้อ 3 มัน…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ถ้าเราทำที่แท้จริงของเราได้ ในข้อ 3,,[Speaker 1] มันคือคำต่อท้ายที่บอกว่า Maximize Asset…,[CEO Poom] ถ้า เรา ทำ ที่ แท้ จริง ของ เรา ได้ ใน …,
57,0:57,[Speaker 1] ถ้าเราทำที่แท้จริงของเราได้ ในข้อ 3 มัน…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ถ้าเราทำที่แท้จริงของเราได้ ในข้อ 3,,[Speaker 1] มันคือคำต่อท้ายที่บอกว่า Maximize Asset…,[CEO Poom] ถ้า เรา ทำ ที่ แท้ จริง ของ เรา ได้ ใน …,
58,0:58,[Speaker 1] ถ้าเราทำที่แท้จริงของเราได้ ในข้อ 3 มัน…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] มันคือคำต่อท้ายที่บอกว่า Maximize Asset…,[CEO Poom] ถ้า เรา ทำ ที่ แท้ จริง ของ เรา ได้ ใน …,
59,0:59,[Speaker 1] ถ้าเราทำที่แท้จริงของเราได้ ในข้อ 3 มัน…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] มันคือคำต่อท้ายที่บอกว่า maximize asset…,,[Speaker 1] มันคือคำต่อท้ายที่บอกว่า Maximize Asset…,[CEO Poom] ถ้า เรา ทำ ที่ แท้ จริง ของ เรา ได้ ใน …,
60,1:00,[Speaker 1] ถ้าเราทำที่แท้จริงของเราได้ ในข้อ 3 มัน…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] มันคือคำต่อท้ายที่บอกว่า maximize asset…,,[Speaker 1] มันคือคำต่อท้ายที่บอกว่า Maximize Asset…,[CEO Poom] ถ้า เรา ทำ ที่ แท้ จริง ของ เรา ได้ ใน …,
61,1:01,[Speaker 1] ถ้าเราทำที่แท้จริงของเราได้ ในข้อ 3 มัน…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] มันคือคำต่อท้ายที่บอกว่า maximize asset…,,[Speaker 1] มันคือคำต่อท้ายที่บอกว่า Maximize Asset…,[CEO Poom] ถ้า เรา ทำ ที่ แท้ จริง ของ เรา ได้ ใน …,
